epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.0527617087364196,0.52825,0.9094480900782294,0.678889847569744,3e-05
2,0.6709560239315033,0.720125,0.7650954989410523,0.6660195570894449,3e-05
3,0.47981747627258303,0.809125,0.6377558747575925,0.7308743169398907,3e-05
4,0.34683179277181625,0.865,0.6796569567411305,0.7294362956571757,3e-05
5,0.24503206938505173,0.906,0.6884521748417941,0.7404371584699454,3e-05
6,0.19603039225935937,0.927875,0.7357061511001933,0.7474834627552488,3e-05
7,0.1608891264870763,0.942,0.8067986011155212,0.7121800402645959,1.5e-05
8,0.12081920083612203,0.956625,0.8244030475722424,0.7388553350589588,1.5e-05
9,0.10708218718320131,0.961875,0.799106446578276,0.7546735691688237,1.5e-05
10,0.09531258941069246,0.96625,0.8462995150659409,0.7548892723612309,1.5e-05
11,0.08449731037765741,0.971,0.8643197312210334,0.7553925798101812,7.5e-06
